iter	RMSE
0	12.96015089
1	11.97606359
2	11.08331836
3	10.25235462
4	9.434547201
5	8.674155287
6	7.959904486
7	7.352043248
8	6.914259874
9	6.604660015
10	6.053065662
11	5.612604037
12	5.258314431
13	4.953258034
14	4.678602626
15	4.450172944
16	4.273877786
17	4.043851779
18	3.864593252
19	3.746726025
20	3.542517918
21	3.434802661
22	3.252712017
23	3.182389737
24	3.106770979
25	2.995422829
26	2.91909077
27	2.840117953
28	2.784817905
29	2.727414676
30	2.657655479
31	2.613387061
32	2.465468811
33	2.412594453
34	2.37698525
35	2.253361408
36	2.215975901
37	2.114499155
38	2.078820117
39	2.051791939
40	1.957932551
41	1.931653269
42	1.833447318
43	1.752295217
44	1.727471038
45	1.670531727
46	1.617509358
47	1.554505614
48	1.510949597
49	1.426686795
50	1.371823592
51	1.314062606
52	1.269495037
53	1.207189209
54	1.192520636
55	1.140100769
56	1.127341947
57	1.085563571
58	1.063235738
59	1.041721938
60	0.997311504
61	0.9601489005
62	0.9256764282
63	0.89566014
64	0.8799395426
65	0.8480922024
66	0.8371101035
67	0.8042632903
68	0.7934520323
69	0.7670785413
70	0.7577039173
71	0.7349564779
72	0.7118517883
73	0.6925845563
74	0.6678440426
75	0.6453649323
76	0.626329449
77	0.6055409785
78	0.5926086419
79	0.5761856917
80	0.5668180362
81	0.5525749287
82	0.5409475827
83	0.5339364849
84	0.5175454842
85	0.5107818485
86	0.5050498998
87	0.5005151803
88	0.4930876337
89	0.4880699667
90	0.4834504023
91	0.4680593774
92	0.4564269012
93	0.4524566015
94	0.4444034313
95	0.4287849671
96	0.4251059406
97	0.4217656338
98	0.4187337464
99	0.4101414386
100	0.3980202644
101	0.3880232018
102	0.3852156728
103	0.3771522134
104	0.3739086161
105	0.3664250229
106	0.3595111422
107	0.3509005906
108	0.3451163121
109	0.3370466907
110	0.3317065163
111	0.3239420486
112	0.3183673774
113	0.3166153266
114	0.3062891752
115	0.3040549384
116	0.2996256338
117	0.2973359069
118	0.2880420155
119	0.2796211994
120	0.2749816067
121	0.2714174297
122	0.2638464438
123	0.262419292
124	0.2576002699
125	0.2538942771
126	0.2479978239
127	0.246565971
128	0.2452674402
129	0.2384311773
130	0.2322778396
131	0.2293498044
132	0.2262311738
133	0.2246114212
134	0.2231568561
135	0.2190679956
136	0.2177453858
137	0.2122445343
138	0.2077234503
139	0.2066431743
140	0.199088092
141	0.1936993347
142	0.1918971881
143	0.1898707818
144	0.1861568961
145	0.1811665197
146	0.1802314972
147	0.1773505658
148	0.1739613457
149	0.1704103324
