iter	Passed	Remaining
0	0	148
1	1	140
2	2	142
3	4	168
4	6	197
5	12	288
6	13	267
7	14	255
8	15	243
9	16	231
10	17	226
11	19	227
12	22	232
13	24	236
14	25	231
15	27	230
16	31	245
17	35	259
18	37	259
19	39	255
20	40	249
21	41	242
22	43	237
23	44	232
24	45	225
25	46	219
26	46	214
27	47	208
28	49	204
29	50	201
30	52	200
31	53	198
32	55	195
33	56	192
34	57	188
35	58	184
36	59	180
37	60	178
38	61	175
39	63	173
40	64	171
41	65	169
42	66	166
43	68	164
44	69	161
45	70	158
46	71	155
47	71	152
48	72	149
49	73	147
50	74	145
51	76	143
52	77	141
53	79	140
54	79	138
55	80	135
56	81	132
57	82	130
58	83	128
59	83	125
60	84	123
61	85	122
62	87	120
63	88	118
64	89	116
65	90	114
66	91	112
67	91	110
68	92	108
69	93	107
70	94	105
71	95	103
72	96	101
73	97	99
74	98	98
75	99	96
76	100	95
77	101	93
78	102	91
79	103	90
80	103	88
81	104	86
82	105	85
83	106	83
84	107	82
85	108	80
86	108	78
87	109	77
88	110	75
89	111	74
90	112	72
91	113	71
92	114	69
93	115	68
94	116	67
95	117	66
96	118	64
97	119	63
98	120	62
99	121	60
100	122	59
101	123	57
102	123	56
103	124	55
104	125	53
105	126	52
106	127	51
107	128	49
108	129	48
109	130	47
110	131	46
111	132	45
112	133	43
113	134	42
114	136	41
115	137	40
116	138	38
117	139	37
118	140	36
119	141	35
120	142	34
121	143	32
122	144	31
123	145	30
124	146	29
125	147	28
126	148	26
127	149	25
128	150	24
129	151	23
130	151	22
131	152	20
132	153	19
133	154	18
134	155	17
135	156	16
136	157	14
137	158	13
138	159	12
139	160	11
140	161	10
141	162	9
142	163	7
143	164	6
144	165	5
145	166	4
146	166	3
147	167	2
148	168	1
149	169	0
